Actor,Degree,Betweenness,PageRank
Arnold Schwarzenegger,0.29452054794520544,0.3135947094945678,0.046108750807316995
Donald Trump,0.3013698630136986,0.24794520547945206,0.03133720283735284
Robert De Niro,0.17123287671232876,0.35997480711698954,0.02514880172592744
Sylvester Stallone,0.10273972602739725,0.002305148795465281,0.01363439415447103
John DiMaggio,0.10273972602739725,0.2826641473783656,0.013122615349278775
Michael Bloomberg,0.07534246575342465,0.002834199338686821,0.011771911639747766
Seth Rogen,0.0410958904109589,0.0017005196032120926,0.010742486181775467
David Lynch,0.0410958904109589,0.0017005196032120926,0.010742486181775465
Terry Crews,0.0821917808219178,0.0006046291922531885,0.010653890844319249
Dolph Lundgren,0.0821917808219178,0.0006046291922531885,0.010653890844319249
